INFO:root:Send to 192.168.56.1:15600 -> LOGIN U1 504f008c8fcf8b2ed5dfcde752fc5464ab8ba064215d9c5b5fc486af3d9ab8c81b14785180d2ad7cee1ab792ad44798c 17800
INFO:root:Received from 192.168.56.1 -> login-success
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15600 -> JOIN-ROOM Hohos 1234 U1
INFO:root:Received from 192.168.56.1 -> join-room-already-member
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15600 -> JOIN-ROOM Hohos 1234 U1
INFO:root:Received from 192.168.56.1 -> join-room-already-member
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15600 -> LOGIN U2 504f008c8fcf8b2ed5dfcde752fc5464ab8ba064215d9c5b5fc486af3d9ab8c81b14785180d2ad7cee1ab792ad44798c 19500
INFO:root:Received from 192.168.56.1 -> login-success
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15600 -> SEARCH U2
INFO:root:Received from 192.168.56.1 -> search-success 192.168.56.1:19500
INFO:root:Send to 192.168.56.1:19500 -> CHAT-REQUEST 17800 U1
INFO:root:Received from 192.168.56.1 -> CHAT-REQUEST 17800 U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1 -> OK U2
INFO:root:Received from 192.168.56.1:19500 -> OK U2
INFO:root:Send to 192.168.56.1:17800 -> OK
INFO:root:Received from None -> OK
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:17800 -> hi
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:19500 -> hello
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:19500 -> :q
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:17800 -> 
INFO:root:Send to 192.168.56.1:17800 -> :q
de
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
INFO:root:Send to 192.168.56.1:15500 -> HELLO U1
INFO:root:Send to 192.168.56.1:15500 -> HELLO U2
